Sensor1	Sensor2	Sensor3	Sensor4	Sensor5		Sensor1	Sensor2	Sensor3	Sensor4	Sensor5									
1323	1403	1989	1313	1543		3478	3531	3643	3553	3469									
1323	1410	1989	1310	1542		3477	3531	3645	3551	3463									
1324	1403	1989	1311	1543		3478	3532	3643	3553	3467									
1327	1403	1986	1310	1542		3477	3527	3641	3553	3466									
1328	1405	1991	1311	1545		3474	3531	3643	3549	3463			Trung bình	1309.4635	1375.4395	1971.779	1260.745	1488.556	
1326	1405	1989	1311	1547		3476	3529	3646	3547	3468				3468.3265	3523.6405	3637.5885	3546.271	3465.3665	
1321	1403	1989	1311	1547		3473	3530	3640	3551	3460			Trung bình sau khi l?c outliers	1305.0725	1373.785625	1971.53375	1256.730625	1493.0125	1480.027
1324	1403	1989	1310	1542		3475	3534	3641	3551	3465				3467.708125	3523.66	3637.5975	3546.235625	3465.29875	3528.1
1325	1402	1990	1309	1545		3475	3530	3642	3551	3468			Gain	0.947	0.953	1.229	0.895	1.038	
1323	1401	1994	1311	1546		3483	3529	3645	3559	3466									
1322	1403	1990	1312	1542		3475	3529	3643	3553	3466									
1323	1401	1989	1309	1546		3476	3530	3645	3544	3461									
1323	1406	1989	1311	1528		3474	3528	3641	3549	3458									
1325	1400	1988	1304	1540		3473	3530	3641	3547	3466									
1324	1403	1987	1309	1545		3474	3531	3636	3547	3462									
1322	1403	1985	1309	1541		3475	3528	3641	3547	3463									
1325	1401	1988	1310	1545		3475	3528	3641	3545	3466									
1330	1402	1988	1309	1545		3493	3529	3639	3549	3461									
1324	1402	1990	1309	1530		3478	3535	3641	3548	3457									
1325	1403	1988	1309	1541		3475	3528	3640	3547	3464									
1328	1398	1984	1304	1540		3475	3524	3647	3547	3461									
1331	1400	1989	1309	1539		3475	3508	3642	3547	3466									
1324	1401	1988	1305	1545		3475	3531	3641	3547	3469									
1330	1419	1994	1309	1542		3474	3533	3643	3547	3466									
1325	1401	1988	1309	1541		3474	3525	3642	3546	3466									
1324	1402	1988	1311	1548		3474	3544	3643	3547	3464									
1322	1401	1988	1303	1540		3474	3529	3641	3547	3465									
1314	1411	1991	1317	1544		3475	3528	3641	3547	3440									
1323	1401	1988	1310	1573		3474	3528	3640	3547	3463									
1324	1400	1990	1313	1545		3474	3527	3641	3545	3465									
1324	1401	2010	1313	1544		3475	3529	3641	3547	3465									
1328	1401	1988	1317	1556		3473	3528	3638	3547	3466									
1334	1405	1989	1305	1562		3466	3533	3642	3551	3465									
1343	1418	1993	1294	1551		3480	3527	3642	3547	3468									
1346	1405	1997	1302	1550		3474	3529	3641	3547	3461									
1344	1406	1991	1296	1545		3477	3525	3643	3549	3468									
1345	1403	1993	1302	1551		3482	3528	3641	3549	3468									
1346	1404	1989	1299	1555		3475	3526	3641	3549	3464									
1346	1399	1991	1300	1543		3473	3499	3642	3548	3460									
1345	1405	1999	1299	1542		3467	3528	3642	3553	3464									
1346	1404	1989	1293	1552		3474	3528	3642	3547	3466									
1347	1406	1994	1300	1552		3474	3514	3644	3548	3465									
1345	1404	1991	1299	1551		3475	3529	3641	3546	3466									
1345	1402	1991	1296	1550		3474	3528	3641	3547	3466									
1346	1407	1992	1298	1549		3474	3529	3643	3547	3463									
1346	1405	1995	1302	1551		3475	3529	3641	3546	3465									
1341	1404	1991	1299	1551		3475	3528	3640	3547	3463									
1345	1402	1989	1301	1552		3473	3529	3640	3547	3466									
1341	1399	1987	1306	1550		3494	3528	3640	3547	3462									
1331	1378	1981	1321	1537		3474	3528	3642	3544	3466									
1303	1387	2006	1321	1533		3475	3528	3643	3547	3466									
1304	1390	1997	1311	1527		3481	3533	3637	3547	3466									
1294	1384	2011	1302	1540		3474	3526	3641	3549	3463									
1283	1401	2021	1291	1507		3474	3531	3642	3545	3463									
1324	1431	1997	1423	1538		3474	3528	3640	3545	3466									
1306	1377	1981	1314	1521		3475	3524	3641	3547	3470									
1282	1369	2007	1295	1516		3474	3529	3642	3546	3463									
1320	1383	1967	1347	1551		3470	3526	3643	3547	3463									
1269	1356	1997	1305	1511		3475	3524	3641	3541	3466									
1296	1459	2119	1286	1575		3459	3522	3641	3547	3464									
1245	1396	2001	1279	1534		3472	3527	3640	3547	3461									
1279	1394	1991	1311	1553		3475	3528	3641	3545	3464									
1255	1367	2013	1269	1558		3474	3525	3641	3547	3462									
1331	1386	1959	1315	1566		3474	3528	3637	3552	3464									
1289	1335	1991	1262	1552		3474	3527	3653	3548	3460									
1270	1400	1969	1280	1518		3474	3527	3641	3546	3466									
1248	1351	1997	1251	1539		3474	3528	3641	3547	3463									
1298	1361	1958	1257	1502		3475	3525	3641	3547	3464									
1270	1356	1969	1266	1556		3475	3526	3641	3539	3466									
1252	1392	1952	1284	1449		3467	3528	3641	3547	3465									
1243	1376	1929	1271	1457		3474	3528	3646	3547	3464									
1225	1342	1964	1253	1534		3473	3527	3641	3547	3461									
1234	1330	1979	1241	1527		3472	3528	3642	3547	3461									
1256	1322	1977	1215	1552		3477	3527	3640	3545	3473									
1282	1310	1980	1222	1567		3479	3585	3649	3546	3464									
1273	1310	1983	1230	1575		3475	3528	3637	3546	3462									
1252	1282	1972	1244	1545		3483	3528	3642	3550	3466									
1220	1294	1961	1251	1540		3473	3526	3643	3549	3463									
1231	1294	1955	1237	1540		3491	3528	3639	3549	3461									
1273	1365	1952	1303	1505		3475	3524	3641	3544	3466									
1284	1356	1958	1302	1489		3475	3528	3641	3547	3463									
1262	1325	1973	1267	1514		3475	3528	3641	3547	3466									
1285	1319	1972	1255	1522		3475	3527	3641	3547	3462									
1267	1273	1969	1263	1522		3477	3527	3641	3548	3462									
1292	1353	1962	1269	1494		3474	3526	3641	3547	3459									
1288	1329	1951	1271	1477		3475	3526	3641	3546	3464									
1267	1313	1978	1239	1512		3464	3527	3641	3546	3464									
1242	1290	1964	1248	1506		3473	3525	3642	3546	3466									
1262	1342	1963	1215	1506		3478	3527	3638	3549	3463									
1274	1347	1943	1257	1502		3487	3528	3643	3548	3467									
1287	1329	1957	1245	1489		3474	3524	3643	3546	3466									
1213	1260	1959	1211	1472		3475	3521	3641	3547	3464									
1243	1316	1954	1252	1478		3474	3529	3639	3547	3465									
1313	1345	1944	1284	1446		3467	3521	3640	3547	3462									
1330	1322	1949	1245	1483		3479	3527	3646	3547	3466									
1319	1315	1954	1192	1474		3474	3525	3642	3551	3466									
1264	1300	1945	1225	1463		3480	3526	3637	3551	3466									
1246	1334	1939	1265	1454		3470	3526	3637	3546	3463									
1262	1307	1933	1229	1437		3476	3525	3641	3547	3465									
1271	1313	1959	1243	1475		3475	3526	3641	3547	3463									
1221	1343	1957	1261	1449		3475	3535	3643	3547	3460									
1258	1301	1962	1235	1444		3475	3525	3642	3554	3457									
1253	1310	1969	1223	1463		3475	3528	3641	3547	3462									
1259	1326	1941	1231	1439		3475	3524	3643	3547	3462									
1269	1307	1940	1275	1464		3474	3527	3637	3547	3463									
1262	1325	1943	1256	1476		3476	3525	3641	3547	3468									
1271	1355	1937	1259	1484		3476	3526	3637	3526	3462									
1263	1345	1935	1263	1481		3473	3523	3641	3540	3463									
1267	1347	1940	1263	1485		3475	3531	3641	3547	3466									
1275	1344	1950	1266	1487		3473	3525	3642	3548	3464									
1262	1324	1929	1267	1444		3476	3527	3643	3542	3461									
1251	1362	1937	1275	1433		3475	3532	3641	3531	3464									
1252	1349	1954	1259	1421		3473	3524	3643	3547	3467									
1221	1304	1960	1255	1463		3485	3526	3641	3547	3466									
1267	1323	1991	1244	1455		3478	3526	3640	3547	3468									
1276	1329	1968	1261	1441		3475	3526	3629	3547	3463									
1261	1312	1964	1258	1457		3475	3514	3641	3547	3468									
1286	1320	1958	1211	1470		3467	3521	3641	3543	3463									
1250	1337	1949	1274	1483		3480	3525	3653	3548	3484									
1260	1285	1962	1224	1499		3478	3525	3641	3547	3467									
1301	1329	1938	1246	1494		3468	3525	3641	3547	3464									
1264	1352	1945	1206	1505		3475	3509	3642	3547	3465									
1339	1348	1948	1217	1512		3477	3525	3642	3557	3468									
1294	1359	1948	1254	1495		3477	3525	3641	3551	3462									
1202	1275	1965	1241	1499		3477	3525	3641	3551	3462									
1257	1338	1954	1269	1462		3475	3526	3641	3548	3463									
1262	1350	1957	1243	1511		3469	3526	3641	3548	3468									
1214	1295	1947	1225	1515		3485	3525	3627	3551	3469									
1200	1292	1957	1269	1541		3475	3524	3641	3547	3467									
1263	1320	1957	1246	1454		3476	3527	3640	3555	3468									
1259	1304	1956	1219	1564		3461	3525	3643	3551	3468									
1256	1340	1940	1245	1509		3475	3527	3641	3547	3463									
1309	1360	1962	1235	1571		3466	3540	3641	3550	3463									
1247	1277	1977	1232	1494		3475	3526	3643	3549	3468									
1278	1349	1963	1256	1492		3477	3526	3643	3548	3469									
1266	1365	1970	1273	1505		3469	3530	3643	3549	3467									
1269	1368	1987	1265	1500		3478	3526	3644	3547	3469									
1274	1360	1995	1263	1503		3476	3528	3641	3554	3471									
1267	1348	1998	1250	1508		3478	3528	3648	3547	3468									
1278	1352	1997	1269	1538		3477	3529	3641	3547	3465									
1289	1363	1997	1284	1540		3479	3528	3641	3559	3466									
1283	1359	1985	1296	1528		3478	3524	3648	3555	3470									
1247	1386	1952	1295	1581		3479	3528	3644	3551	3466									
